source_directory,processing_script,processed_output,metadata_status,structured_metadata_present,validation_error_count,validation_errors,source_key,release_clearance,permission_basis,original_author,last_substantive_update,manual_steps_required,external_dependencies_required,source_dataset,processing_assumptions,temporal_handling,spatial_handling,manual_steps,known_limitations,external_dependencies,notes
Hanston_etal_2024,data\Hanston_etal_2024\process_hanston_etal_2024.py,data\Hanston_etal_2024\processed_hanston_etal_2024.csv,structured_toml,yes,0,,Hanston_etal_2024,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Hanston et al. 2024 thaw-depth measurements from Kougarok and Teller compiled
for CUSP release in the Hanston_etal_2024 source directory.
","The source probe length is treated as 130 cm, but thaw-depth values of 120 cm at Teller are classified as non-permafrost because measurements were collected in July before maximum thaw development. || pf_depth is left empty because the measurements were made mid-summer rather than at full seasonal thaw. || The Kougarok and Teller site tables are concatenated after harmonizing the same key columns. || method is set to tp for all rows because the source consists of thaw-probe measurements. || The assumed-state and assumed-limit flags apply only to rows classified as absence by the 119 cm threshold.",Dates are parsed from YYYYMMDD strings in the source CSVs and normalized to calendar dates.,Latitude and Longitude are used directly from each source CSV.,,The pf_observed threshold is a conservative inference based on summer timing rather than a direct permafrost measurement. || obs_limit is fixed to 130 cm for absence rows; their capped reported depth is preserved only as provenance.,,
Hollingsworth_2005,data\Hollingsworth_2005\process_hollingsworth_2005.py,data\Hollingsworth_2005\processed_hollingsworth_2005.csv,structured_toml,yes,0,,Hollingsworth_2005,approved,public_repository_terms,jrowland,2026-04-11,no,no,"Hollingsworth, Teresa Nettleton. 2005. Active layer depths: 150 mature black
spruce sites in interior Alaska (2000-2003). Bonanza Creek LTER -
University of Alaska Fairbanks. BNZ:140.
http://www.lter.uaf.edu/data/data-detail/id/140
doi:10.6073/pasta/2fbece708e6552adb8ba6dcbc817ebb1
","Depth strings are cleaned to numeric values by removing non-numeric characters before aggregation. || Each site-date group is summarized using probe-code counts: I indicates valid permafrost hits, while R and O affect pf_observed and thaw-depth handling. || pf_observed is set to 1 only when I-coded hits outnumber the combined R and O counts. || obs_limit is set to the maximum O-coded depth when present; otherwise it defaults to 130 cm. || method is set to tp for all processed rows.",Per-date records are preserved and summarized within each site-date group rather than aggregated across years.,Coordinates are joined from the separate TKN_SiteCords.csv table without reprojection.,,The interpretation of probe codes is encoded in CUSP-specific aggregation logic and should be revisited if the source code definitions change.,,
Holloway_2019,data\Holloway_2019\process_holloway_2019.py,data\Holloway_2019\processed_holloway_2019.csv,structured_toml,yes,0,,Holloway_2019,approved,published_literature,jschwenk + Codex,2026-08-04,yes,no,"Holloway, Jean E.; Lewkowicz, Antoni G. 2020. Half a century of discontinuous
permafrost persistence and degradation in western Canada. Permafrost and
Periglacial Processes 31(1): 85-96. doi:10.1002/ppp.2017
","The source workbook is split into 1962 and 2018 observation blocks that are processed separately and concatenated at the end. || For 1962 observations, ALT_cm_1962 is treated as pf_depth and copied to thaw_depth where pf_observed = 1. || For 2017-2018 observations, unmarked ALT values are direct frost-table depths; values marked with * are thermal-gradient estimates for source rows classified as Probable. || Permafrost absence is assigned obs_limit = 200 cm because the paper explicitly defines absence as no directly observed or temperature-gradient-predicted frost table within the upper 2 m. || Question marks and placeholder hyphens are treated as missing values. || method is tp for direct frost-table observations, temp for 2017-2018 probable/absence classifications that use thermal profiles, and tp with a method-approximation flag for the historical 1962 classifications.",The September 1962 observations are assigned the representative date 1962-09-15. || The repeat observations span August 2017 and 2018 but cannot be separated row by row in the transcribed table; all are assigned 2018-08-15 and flagged as source-date approximate.,Coordinates are read directly from the source workbook without reprojection.,The source observations were transcribed from a Word-document source into holloway_data.xlsx before this script runs.,Seven probable repeat-survey frost-table depths and the repeat-survey absence classifications rely on linear extrapolation of instantaneous temperature gradients rather than direct contact with frozen ground. || The repeat-survey table combines observations from 2017 and 2018 without a row-level year field. || The 1962 method is mapped approximately to frost probing from the repeat-study description of Brown's comparable field procedure.,,
Jafarov_2016,data\Jafarov_2016\process_jafarov_2016.py,data\Jafarov_2016\processed_jafarov_2016.csv,structured_toml,yes,0,,Jafarov_2016,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"Jafarov, E.; Parsekian, A.; Schaefer, K.; Liu, L.; Chen, A.; Panda, S.K.;
Zhang, T. 2018. Pre-ABoVE: Active Layer Thickness and Soil Water Content,
Barrow, Alaska, 2013. ORNL DAAC. https://doi.org/10.3334/ORNLDAAC/1355
","The complete level-1 GPR product is read from lvl1_gpr_alt.csv; the high-density comparison table is used only for its mechanical-probe observations because its GPR subset is already represented in the level-1 product. || Probe and GPR active-layer-thickness values are converted from meters to centimeters. || Dense GPR picks are aggregated to one mean observation per occupied 5 m by 5 m UTM cell within site and survey date; probe observations are not spatially aggregated. || All processed observations are treated as permafrost-present, so pf_observed is fixed to 1 and pf_depth is set equal to thaw_depth. || method is set to tp for probe rows and gp for GPR rows.","Official documentation and raw-file names establish that the campaign occurred from 2013-08-10 through 2013-08-15. || The processed source tables do not provide a reliable observation date for every point, so all rows are assigned the representative campaign midpoint 2013-08-12 and carry the date_assigned quality flag.",Probe and GPR coordinates are taken from their respective source tables without source-coordinate interpolation. || GPR aggregation uses a local UTM projection selected independently for each site/date survey unit.,,"Observation day is approximate, but the 2013 thaw year is established by the dataset documentation and raw-file names. || The script assumes all retained observations come from continuous permafrost terrain and therefore does not represent non-permafrost cases. || Moore_et_al_2025 republishes 57,294 native GPR picks and 1,297 probe observations from this source with dates assigned to 2014 or 2018. The Moore processor removes those copies before aggregation and retains Jafarov_2016, whose primary documentation establishes the 2013 thaw year, as the original source.",,
James_2019,data\James_2019\process_james_2019.py,data\James_2019\processed_james_2019.csv,structured_toml,yes,0,,James_2019,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"James, S.R.; Minsley, B.J.; Waldrop, M.P.; McFarland, J.W.; Manies, K.L.;
Pastick, N.J. 2021. Permafrost characterization at the Alaska Peatland
Experiment (APEX): Geophysical and related field data collected from 2018-2020.
U.S. Geological Survey data release. https://doi.org/10.5066/P90M04ST
","Dates are parsed from YYYYMMDD strings and retained per observation. || Ordinary numeric thaw depths are direct frost-probe detections and are copied to pf_depth with pf_observed = 1. || The documented sentinel 999 means no detection with the 250 cm frost probe; those rows have pf_observed = 0, obs_limit = 250 cm, and empty thaw/pf depths. || Repeated probes sharing an instrument/electrode coordinate, date, and state are averaged because the source reports that individual measurements were taken within 1 m of the published support coordinate. || method is set to tp for all retained rows because the source documentation describes frost-probe measurements.",Original per-observation dates are preserved after parsing from the source CSV. || No annual maximum or date interpolation is applied; every retained row keeps its source observation date.,"Latitude and longitude are carried directly from the source CSV without reprojection. || Published coordinates represent the adjacent seismometer, NMR borehole, or ERT electrode; coordinate-level summaries retain native counts and receive coord_site_level flags.",,,,
James_2020,data\James_2020\process_james_2020.py,data\James_2020\processed_james_2020.csv,structured_toml,yes,0,,James_2020,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"James, S.R.; Minsley, B.J.; Pastick, N.J.; Sullivan, T.D. 2020. Alaska
permafrost characterization: Geophysical and related field data collected from
2019-2020. U.S. Geological Survey data release.
https://doi.org/10.5066/P9I6VUQV
","ThawDepth sentinel values of 999 and 888 are treated as observation-limit codes and remapped to 200 cm and 120 cm, respectively, before permafrost presence is inferred. || Ordinary numeric thaw depths are treated as permafrost detections at the reported depth, without applying an arbitrary near-surface threshold. || Only source sentinel rows are treated as absence; they retain their interpreted 120 or 200 cm observation limits and have canonical thaw/pf depth cleared. || Dates are cleaned from YYYYMMDD strings after stripping any trailing comma-delimited suffixes. || The final output preserves the processed thaw depth, pf_observed, pf_depth, obs_limit, and source coordinates from the shapefile. || method is set to tp for all retained rows because the source release represents thaw-depth probe observations.",Per-observation dates are preserved after cleanup from the source SampleDate field.,Coordinates are read directly from the source shapefile attributes; the geometry is dropped after tabular export.,,"The meaning of the 999 and 888 thaw-depth sentinels should still be confirmed against the original field protocol; CUSP interprets them as 200 cm and 120 cm observation limits and flags that interpretation. || A non-fatal PROJ/GDAL environment warning has appeared during some rebuilds, even though the shapefile still reads successfully.",,
Jones_2025,data\Jones_2025\process_jones_2025.py,data\Jones_2025\processed_jones_2025.csv,structured_toml,yes,0,,Jones_2025,approved,public_repository_terms,jrowland,2025-07-25,no,no,"Benjamin Jones, Mikhail Kanevskiy, Melissa Ward Jones, Phillip Wilson,
Isaiah Ditmer, Benjamin Gaglioti, Eric Klein, Rodrigo Rangel, Kristi Wallace,
Miriam Jones, Matthew Wooller, and Yuri Shur. (2025). Near-surface permafrost
studies near Bethel and remotely sensing ice wedge networks across the Yukon
Kuskokwim Delta, Alaska 2025. Arctic Data Center. doi:10.18739/A24B2X68B.
",Thaw depths are computed from the difference between ground-surface and top-of-permafrost elevations in the source table. || Rows marked 'greater than probe length' are treated as pf_observed = 0 with thaw_depth and pf_depth left empty. || method is set to tp by default and upgraded to aug when thaw_depth exceeds 150 cm.,"Fixed dates of 2024-10-03 and 2024-10-01 are assigned to the BET-7 and BET-31 transects, respectively.",Latitude and longitude values added by Ben Jones are used directly from the source CSV.,,obs_limit is only recorded for tp rows and remains empty for aug rows. || The processed output is derived from two fixed transect dates rather than per-point timestamps.,,
Jones_Jones_2025,data\Jones_Jones_2025\process_jones_jones_2025.py,data\Jones_Jones_2025\processed_jones_jones_2025.csv,structured_toml,yes,0,,Jones_Jones_2025,approved,public_repository_terms,jschwenk + Codex,2026-05-20,no,no,"Melissa Ward Jones and Benjamin Jones. (2025). Permafrost and Environmental
Monitoring in 2023 and 2024 at the Teshekpuk Lake Observatory, Northern Alaska.
Arctic Data Center. doi:10.18739/A29Z90D9R.
","Each input CSV filename encodes the site code and survey date used in the processed output. || Mean_ThawDepth_cm > 100 is treated as pf_observed = 0; otherwise pf_observed = 1. || pf_depth is left empty for all rows because only thaw-depth observations are retained. || The source metadata maps the HCP grid to CALM site U60 and the LCP grid to CALM site U60a. || To avoid double-counting once CALM is used as the canonical monitoring-network source, HCP rows are filtered out for years represented by CALM_U60 in data/CALM/processed_calm.csv. || LCP/U60a rows are retained because the current CALM processed table does not contain U60a as a separate site.",Observation dates are parsed from the source filenames and formatted as calendar dates.,Lat_Decimal_Degrees and Long_Decimal_Degrees are used directly from each source CSV.,,"The permafrost classification uses a simple 100 cm threshold rather than an explicit observation-limit field from the source. || method is fixed to tp for all rows. || The CALM overlap handling here is source-specific and intentionally not a general CUSP duplicate detector. || If future CALM processing adds U60a as a distinct site, revisit whether LCP rows should also be filtered or retained.",,
Jorgenson_Kanevskiy_2022_Gosling,data\Jorgenson_Kanevskiy_2022_Gosling\process_jorgenson_kanevskiy_2022_gosling.py,data\Jorgenson_Kanevskiy_2022_Gosling\processed_jorgenson_kanevskiy_2022_gosling.csv,structured_toml,yes,0,,Jorgenson_Kanevskiy_2022_Gosling,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Mark Jorgenson and Mikhail Kanevskiy. (2022). Gosling Lake, Alaska,
Topography, Vegetation, Soils, Soil temperatures, and Site-Environmental Data,
2005-2021. Arctic Data Center. doi:10.18739/A22F7JS4S.
","SoilPFrost codes p and y are treated as permafrost present, a and n as absent, and u as unresolved. || pf_depth is set equal to thaw_depth only when pf_observed is definitively present. || For permafrost-absent rows, SoilThawDep_cm is the source's recorded maximum probing depth in totally unfrozen soil; CUSP moves that value to obs_limit and clears thaw_depth. || SoilObsDep_cm is retained as a provenance field but is not used as the permafrost observation limit because it records the separately described soil-profile depth and is shallower than the frost-probe reach for all absence rows. || method is tp because the metadata explicitly describes thaw-depth and maximum-unfrozen-depth measurements with a metal probe. || Rows with missing thaw_depth are dropped from the processed output.",Dates are parsed from the source Date column and reformatted to calendar dates.,LatWGS84 and LonWGS84 are used directly from the source archive.,,Rows with unresolved SoilPFrost codes are dropped rather than exported with missing pf_observed. || This dedicated release is primary for 15 matching site-years also compiled in Jorgenson_Kanevskiy_2025; the copies are removed in the 2025 inventory processor.,,
Jorgenson_Kanevskiy_2022_Jago,data\Jorgenson_Kanevskiy_2022_Jago\process_jorgenson_kanevskiy_2022_jago.py,data\Jorgenson_Kanevskiy_2022_Jago\processed_jorgenson_kanevskiy_2022_jago.csv,structured_toml,yes,0,,Jorgenson_Kanevskiy_2022_Jago,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Mark Jorgenson and Mikhail Kanevskiy. (2022). Jago Alaska Topography,
Vegetation, Soils, and Site-Environmental Data 2009-2018.
Arctic Data Center. doi:10.18739/A2XP6V496.
","SoilPFrost code p is treated as permafrost present, a as absent, and u as unresolved. || pf_depth is set equal to thaw_depth only when pf_observed is present. || obs_limit is left blank for permafrost-presence rows because SoilObsDep_cm is a profile or sampling depth, not a censoring limit on an already observed thaw depth.",Dates are parsed from the source Date column and reformatted to calendar dates.,LatWGS84 and LonWGS84 are used directly from the source archive.,,method is exported as unknown because the source archive does not specify a clean controlled-vocabulary method. || Rows with unresolved SoilPFrost codes are dropped rather than exported with missing pf_observed. || This dedicated release is primary for 93 matching site-years also compiled in Jorgenson_Kanevskiy_2025; the copies are removed in the 2025 inventory processor.,,
Jorgenson_Kanevskiy_2025,data\Jorgenson_Kanevskiy_2025\process_jorgenson_kanevskiy_2025.py,data\Jorgenson_Kanevskiy_2025\processed_jorgenson_kanevskiy_2025.csv,structured_toml,yes,0,,Jorgenson_Kanevskiy_2025,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,yes,"Jorgenson, Mark; Kanevskiy, Mikhail. 2025. Alaska Permafrost Soils Inventory
and Thermokarst Monitoring Database 2024 Update. Arctic Data Center.
doi:10.18739/A27P8TG0G
","Soil stratigraphy rows are grouped by SiteIDFnl and effective year after parsing embedded year values out of SiteIDFnl where available. || Site metadata are resolved by trying exact SiteID/year matches first, then composite IDs, then relaxed SiteID/SiteIDFld matches. || Permafrost presence/absence uses the source SoilPFrost field (P=present, A=absent); source-unknown U records are excluded. || thaw_depth uses the source SoilThawDep_cm field after treating 999 as missing. || pf_depth is retained only when thaw_depth is unavailable and a definite permafrost or massive-ice CryostratFnl horizon supplies a depth. || ALF denotes frozen active-layer or seasonal-frost material and is not interpreted as permafrost; TL, PT, and TLP are also not treated as exact permafrost tops. || Organic thickness is derived from O horizons above the first non-O horizon. || method is fixed to aug_pit, and rows with unresolved/conflicting site metadata are dropped before export. || obs_limit is blank for permafrost-presence rows. For absence rows it is the deepest valid value among SoilObsDep_cm and SoilThawDep_cm, with profile bottom used only when neither site field supplies a limit. || The 2022 Jago and Gosling dedicated releases are primary where their normalized site ID and observation year match this compiled inventory; 93 Jago and 15 Gosling copies are removed. || A zero-depth placeholder profile cannot support either state or depth and is excluded.",Dates are normalized from the site metadata table and carried through as site-level observation dates for each summarized record.,Latitude and longitude are attached by matching summarized soil records to the site metadata table; no reprojection is performed in the script.,,"Relaxed site matching can fall back to non-year-specific metadata when exact year matches are unavailable. || Rows with conflicting site metadata are dropped rather than resolved automatically. || SoilPFrost defines P as proven or highly likely permafrost; present records without a reported thaw depth or definite permafrost horizon are retained but flagged as assumed state. || The source contains several soil sampling methods, but this legacy processor retains the combined pit/auger canonical method and flags it as approximate. || Although the inventory metadata says SoilObsDep_cm includes frost-probe depth, 58 raw site rows report SoilThawDep_cm deeper than SoilObsDep_cm. The dedicated Gosling release identifies the smaller field as soil-profile depth and independently uses SoilThawDep_cm as frost-probe reach. CUSP therefore treats these as different measurement extents rather than swapped values, uses the larger absence value as the actual search limit, and retains both source fields for audit.",data/Jorgenson_Kanevskiy_2022_Jago/processed_jorgenson_kanevskiy_2022_jago.csv is required for source-specific overlap filtering. || data/Jorgenson_Kanevskiy_2022_Gosling/processed_jorgenson_kanevskiy_2022_gosling.csv is required for source-specific overlap filtering.,
Kling_2016,data\Kling_2016\process_kling_2016.py,data\Kling_2016\processed_kling_2016.csv,structured_toml,yes,0,,Kling_2016,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Kling, G. 2016. Tussock Watershed Thaw Depth Survey Summary for 1990 to
present, Arctic LTER, Toolik Research Station, Alaska, ver. 9.
Environmental Data Initiative.
https://doi.org/10.6073/pasta/fc25feb51864f13223b8573cffb7ed87
","Each source row is a date-specific mean of many thaw-probe measurements and is retained as one summary observation. || thaw_depth and pf_depth are both set to the reported date-specific mean thaw depth; the associated count, spread, minimum, and maximum are preserved as provenance. || Every retained mean represents probe contact with frozen ground, so pf_observed is set to 1 without an arbitrary depth threshold. || site_id is fixed to LTER_TussockWS and method defaults to tp unless the metadata text says otherwise. || lat/lon are inferred from the center of the metadata bounding box rather than from observation-specific coordinates.",Per-record dates are preserved from the source CSV after parsing.,The script derives one representative site coordinate from metadata text rather than using point locations.,,All records share one site-level coordinate instead of observation-specific positions. || The output represents source summary means rather than the individual probe measurements.,,
Kling_2025,data\Kling_2025\process_kling_2025.py,data\Kling_2025\processed_kling_2025.csv,structured_toml,yes,0,,Kling_2025,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Kling, G. 2025. Imnavait Watershed Thaw Depth Survey Summary for 2003 to 2024,
Arctic LTER, Toolik Research Station, Alaska, ver. 13. Environmental Data
Initiative. https://doi.org/10.6073/pasta/6ed482c5c7dd3fd5871b2e463734ce75
","Each source row is a date-specific mean of many thaw-probe measurements and is retained as one summary observation. || thaw_depth and pf_depth are both set to the reported date-specific mean thaw depth; the associated count, spread, minimum, and maximum are preserved as provenance. || Every retained mean represents probe contact with frozen ground, so pf_observed is set to 1 without an arbitrary depth threshold. || site_id is fixed to LTER_Imnavait and method is fixed to tp. || lat/lon are inferred from the center of a bounding box extracted from the metadata text file rather than point coordinates in the source CSV.",Per-record dates are preserved from the source CSV after parsing.,The script derives one representative site coordinate from metadata text rather than observation-specific coordinates.,,The output uses one site-level coordinate for all records instead of per-observation positions. || The output represents source summary means rather than the individual probe measurements.,,
Koyukuk_2018,data\Koyukuk_2018\process_koyukuk_2018.py,data\Koyukuk_2018\processed_koyukuk_2018.csv,structured_toml,yes,0,,Koyukuk_2018,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"Schwenk J.; Piliouras A.; Rowland J. (2023). Observations and Machine-Learned
Models of Near-Surface Permafrost along the Koyukuk River, Alaska, USA.
ESS-DIVE repository. doi:10.15485/1922517
","Rows with site_id = polysample are retained under the project team's decision to include visually interpreted permafrost presence/absence observations when their basis is explicitly flagged. || The 314 polysample rows are representative points randomly sampled from team-created permafrost and non-permafrost polygons at 100 m minimum within-class and global spacing; they are not instrument measurements made at the sampled coordinates and are not machine-learning model predictions. || Polysample rows retain blank pf_depth, thaw_depth, and obs_limit values because no point-specific measurement depth or observation limit supports them. || The source pf_obs Y/N flags are mapped directly to pf_observed 1/0. || For direct field rows, the source depth_obs field is carried into obs_limit where reported. || For direct field rows lacking depth_obs, 96 cm is assigned as a conservative source-specific observation limit: it is the maximum observed permafrost depth among the direct field rows and is below the approximately 100 cm general field limit described in the local metadata. || For direct permafrost-present rows, the source pf_depth column is interpreted as both pf_depth and thaw_depth. || method is set to tp for direct rows where depth_obs is reported and unknown for rows whose exact field method is not recoverable row by row, including visual polygon samples.",A single campaign-average date of 2018-07-08 is assigned to every row because the source table does not provide per-observation dates.,"Coordinates are read directly from the source CSV without reprojection. || Direct-row coordinates represent field observations; polysample coordinates are randomly sampled representative locations within interpreted polygons, with 100 m minimum spacing documented in koyukuk_readme.txt.",,Observation timing is approximate because all rows share the same campaign-average date. || The 96 cm observation limit is a conservative source-level inference rather than a row-specific measured limit for 24 observations. || The 314 visually interpreted polygon samples do not have point-specific measurement depths or observation limits and should be excluded from analyses requiring instrument-observed or depth-bounded records by filtering quality flag VI.,,
Langer_etal_2020,data\Langer_etal_2020\process_langer_etal_2020.py,data\Langer_etal_2020\processed_langer_etal_2020.csv,structured_toml,yes,0,,Langer_etal_2020,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"Langer, Moritz; Kaiser, Soraya; Oehme, Alexander; Schneider von Deimling,
Thomas; Jacobi, Stephan. 2020. Active layer thickness (ALT) on the North Slope
of Alaska (USA) and Manitoba (Canada) in summer 2018 and 2019 [dataset].
PANGAEA. https://doi.org/10.1594/PANGAEA.913423
","Only rows with numeric active-layer depth are retained from the source table. || Rows with comment = rocks are dropped before permafrost presence is derived. || pf_observed is set to 0 only for comment = end of probe and 1 otherwise. || For comment = end of probe, obs_limit is assigned by year using 145 cm for 2018 and 200 cm for 2019, and the capped value is cleared from canonical thaw_depth. || pf_depth is set equal to thaw_depth where pf_observed = 1. || method is set to tp for all retained rows because the source reports active-layer depth probe measurements.",Source dates are parsed directly from the PANGAEA table and preserved per observation.,Coordinates are read directly from the source table without reprojection.,,The probe-length assumption is hardcoded from source interpretation rather than an explicit observation-limit field in each row.,,
Minsley_2015,data\Minsley_2015\process_minsley_2015.py,data\Minsley_2015\processed_minsley_2015.csv,structured_toml,yes,0,,Minsley_2015,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"Pastick, N.J.; Kass, M.A.; Wylie, B.K.; James, S.R.; Rey, D.M.; Minsley, B.J.;
Ebel, B.A. 2018. Alaska permafrost characterization: Geophysical and related
field data collected from 2016-2017. U.S. Geological Survey data release.
https://doi.org/10.5066/P99PTGP4
","This script processes the point-soil observations only; the ERT portion of the release is intentionally not included. || Active-layer-thickness values reported with a leading > are treated as observation-limit non-permafrost observations. || Rejected probes with DepthtoRejection < 100 cm have their active-layer thickness cleared before permafrost presence is derived. || Ordinary numeric active-layer thickness is treated as permafrost presence at the reported depth, regardless of depth. || Only explicit >x values are treated as lower-bound absence, with obs_limit set to the row's reported x value; nonpositive >0 records are excluded. || method is set to tp for all retained rows because this script only exports the point-soil thaw-probe observations from the release.",All retained observations are assigned the representative campaign date 2015-08-29.,Latitude and longitude are read directly from the source workbook in WGS84 decimal degrees.,,Observation timing is approximate because all rows share one campaign-average date. || Rows with probe rejection shallower than 100 cm do not establish permafrost state and are excluded.,,
Minsley_2017,data\Minsley_2017\process_minsley_2017.py,data\Minsley_2017\processed_minsley_2017.csv,structured_toml,yes,0,,Minsley_2017,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Pastick, N.J.; Kass, M.A.; Wylie, B.K.; James, S.R.; Rey, D.M.; Minsley, B.J.;
Ebel, B.A. 2018. Alaska permafrost characterization: Geophysical and related
field data collected from 2016-2017. U.S. Geological Survey data release.
https://doi.org/10.5066/P99PTGP4
","This script processes the point-soil observations only; the ERT portion of the release is intentionally not included. || ActiveLayerThickness values reported with a leading > are treated as observation-limit non-permafrost observations. || Rejected probes with DepthtoRejection < 100 cm have their active-layer thickness cleared before permafrost presence is derived. || Ordinary numeric active-layer thickness is treated as permafrost presence at the reported depth, regardless of depth. || Only explicit >x values are treated as lower-bound absence, with obs_limit set to the row's reported x value. || method is set to tp for all retained rows because this script only exports the point-soil thaw-probe observations from the release.",Per-observation dates are parsed from SampleDate using the source mm/dd/yy format and preserved in the processed output.,Latitude and longitude are read directly from the source CSV in WGS84 decimal degrees.,,Rows with probe rejection shallower than 100 cm do not establish permafrost state and are excluded. || Minsley_2017 is the primary CUSP source for nine campaign-date/location/state/depth matches also present as contextual active-layer values in Ebel_2018; those copies are removed in the Ebel processor.,,
Minsley_2021,data\Minsley_2021\process_minsley_2021.py,data\Minsley_2021\processed_minsley_2021.csv,structured_toml,yes,0,,Minsley_2021,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"Minsley, B.J.; James, S.R.; Pastick, N.J. 2022. Alaska permafrost
characterization: Geophysical and related field data collected in 2021.
U.S. Geological Survey data release. https://doi.org/10.5066/P9XEMDE1
","ALT == 999 is treated as an observation-limit code and remapped to 132 cm before permafrost presence is inferred. || Rows are retained only when ALT establishes a permafrost observation; OLT-only rows are not sufficient. || Ordinary numeric ALT is treated as permafrost presence, while ALT == 999 is retained as lower-bound absence with obs_limit = 132 cm. || The final processed table keeps thaw_depth, pf_observed, pf_depth, org_thick, obs_limit, date, and site_id derived through csvify_working(). || method is set to tp for all retained rows because this script only exports the point-soil thaw-probe observations from the release.",Dates are parsed from YYYYMMDD strings and preserved per observation.,Coordinates are read directly from the source CSV in WGS84 decimal degrees.,,The 132 cm interpretation of source sentinel 999 is a processor assumption and is quality-flagged.,,
